1.173.94.92,1.173.94.95,28139100,28139103,RU,Russia
1.2.9.0,1.2.9.255,16910592,16910847,RU,Russia
1.4.9.0,1.4.9.255,17041664,17041919,RU,Russia
102.222.77.0,102.222.77.255,1725844736,1725844991,RU,Russia
102.222.78.0,102.222.78.255,1725844992,1725845247,RU,Russia
102.38.250.0,102.38.251.255,1713830400,1713830911,RU,Russia
102.38.252.0,102.38.252.255,1713830912,1713831167,RU,Russia
103.113.68.0,103.113.68.255,1735476224,1735476479,RU,Russia
103.127.76.0,103.127.77.255,1736395776,1736396287,RU,Russia
103.136.43.0,103.136.43.255,1736977152,1736977407,RU,Russia
103.155.126.0,103.155.127.255,1738243584,1738244095,RU,Russia
103.49.130.0,103.49.130.255,1731297792,1731298047,RU,Russia
103.76.52.0,103.76.55.255,1733047296,1733048319,RU,Russia
103.82.103.0,103.82.103.255,1733453568,1733453823,RU,Russia
104.109.128.0,104.109.128.255,1752006656,1752006911,RU,Russia
104.166.148.0,104.166.151.255,1755747328,1755748351,RU,Russia
104.166.186.0,104.166.186.63,1755757056,1755757119,RU,Russia
104.250.182.0,104.250.182.255,1761261056,1761261311,RU,Russia
104.28.100.102,104.28.100.103,1746691174,1746691175,RU,Russia
104.28.100.106,104.28.100.107,1746691178,1746691179,RU,Russia
104.28.100.108,104.28.100.111,1746691180,1746691183,RU,Russia
104.28.102.102,104.28.102.103,1746691686,1746691687,RU,Russia
104.28.102.106,104.28.102.107,1746691690,1746691691,RU,Russia
104.28.102.108,104.28.102.111,1746691692,1746691695,RU,Russia
104.28.105.28,104.28.105.29,1746692380,1746692381,RU,Russia
104.28.106.148,104.28.106.149,1746692756,1746692757,RU,Russia
104.28.106.152,104.28.106.159,1746692760,1746692767,RU,Russia
104.28.106.160,104.28.106.163,1746692768,1746692771,RU,Russia
104.28.106.164,104.28.106.165,1746692772,1746692773,RU,Russia
104.28.114.51,104.28.114.51,1746694707,1746694707,RU,Russia
104.28.114.52,104.28.114.52,1746694708,1746694708,RU,Russia
104.28.119.102,104.28.119.103,1746696038,1746696039,RU,Russia
104.28.119.104,104.28.119.105,1746696040,1746696041,RU,Russia
104.28.12.170,104.28.12.171,1746668714,1746668715,RU,Russia
104.28.12.172,104.28.12.175,1746668716,1746668719,RU,Russia
104.28.12.176,104.28.12.191,1746668720,1746668735,RU,Russia
104.28.12.192,104.28.12.192,1746668736,1746668736,RU,Russia
104.28.122.102,104.28.122.103,1746696806,1746696807,RU,Russia
104.28.122.104,104.28.122.105,1746696808,1746696809,RU,Russia
104.28.129.51,104.28.129.51,1746698547,1746698547,RU,Russia
104.28.129.52,104.28.129.52,1746698548,1746698548,RU,Russia
104.28.131.120,104.28.131.121,1746699128,1746699129,RU,Russia
104.28.131.124,104.28.131.127,1746699132,1746699135,RU,Russia
104.28.131.128,104.28.131.143,1746699136,1746699151,RU,Russia
104.28.141.151,104.28.141.151,1746701719,1746701719,RU,Russia
104.28.141.152,104.28.141.159,1746701720,1746701727,RU,Russia
104.28.148.66,104.28.148.67,1746703426,1746703427,RU,Russia
104.28.148.68,104.28.148.71,1746703428,1746703431,RU,Russia
104.28.148.72,104.28.148.79,1746703432,1746703439,RU,Russia
104.28.148.86,104.28.148.86,1746703446,1746703446,RU,Russia
104.28.148.92,104.28.148.95,1746703452,1746703455,RU,Russia
104.28.148.96,104.28.148.97,1746703456,1746703457,RU,Russia
104.28.149.55,104.28.149.55,1746703671,1746703671,RU,Russia
104.28.149.58,104.28.149.58,1746703674,1746703674,RU,Russia
104.28.156.66,104.28.156.67,1746705474,1746705475,RU,Russia
104.28.156.68,104.28.156.71,1746705476,1746705479,RU,Russia
104.28.156.72,104.28.156.79,1746705480,1746705487,RU,Russia
104.28.156.86,104.28.156.86,1746705494,1746705494,RU,Russia
104.28.156.92,104.28.156.95,1746705500,1746705503,RU,Russia
104.28.156.96,104.28.156.97,1746705504,1746705505,RU,Russia
104.28.157.55,104.28.157.55,1746705719,1746705719,RU,Russia
104.28.157.58,104.28.157.58,1746705722,1746705722,RU,Russia
104.28.161.35,104.28.161.35,1746706723,1746706723,RU,Russia
104.28.161.36,104.28.161.39,1746706724,1746706727,RU,Russia
